Date_operation,Entrée,Sortie,Stock
2023-11-01 08:43:58,0,70,159
2024-11-01 09:46:52,0,30,170
2024-11-01 09:52:27,0,50,120
2024-11-01 10:25:24,0,20,100
2025-11-02 10:22:24,0,50,620
2023-11-03 08:18:02,0,60,685
2023-11-03 15:26:28,0,50,635
2025-11-03 10:06:09,0,100,1091
2025-11-03 10:45:42,0,50,1041
2025-11-03 15:55:12,0,20,1021
2023-11-04 08:56:11,0,50,30
2025-11-04 08:58:43,0,100,1008
2025-11-04 14:58:32,0,4,1004
2025-11-04 15:32:31,0,30,974
2023-11-05 08:54:39,0,30,570
2024-11-05 10:45:58,0,50,240
2024-11-05 11:42:22,0,100,140
2023-11-07 09:37:49,0,50,311
2023-11-07 10:06:51,0,20,361
2023-11-08 09:11:26,0,60,6
2024-11-10 09:11:16,0,50,848
2024-11-11 10:10:13,0,50,49
2024-11-11 12:21:17,0,49,0
2023-11-12 11:40:44,0,50,450
2024-11-12 09:42:12,0,50,995
2023-12-01 08:44:59,0,30,129
2023-12-01 08:50:47,0,100,29
2025-12-03 12:47:31,0,100,921
2025-12-04 12:10:55,0,20,954
2023-12-05 08:14:42,0,50,520
2023-12-06 08:23:58,0,50,175
2023-12-07 09:09:40,0,30,281
2023-12-07 10:02:44,0,100,181
2023-12-07 10:47:04,0,100,81
2024-12-07 10:42:24,0,150,613
2025-12-07 12:37:43,0,100,286
2024-12-08 17:56:05,0,15,835
2025-12-08 10:41:10,0,20,470
2025-12-08 11:09:31,0,50,420
2022-12-09 08:14:55,0,70,530
2022-12-09 10:35:35,0,200,330
2024-12-09 09:42:37,0,100,848
2022-12-10 09:10:46,1000,0,1000
2022-12-10 09:15:58,0,100,900
2022-12-10 12:09:34,0,100,800
2022-12-10 13:30:41,0,200,600
2022-12-10 14:25:55,0,100,500
2024-12-12 11:59:25,0,100,895
,0,28,1
,0,1,0
,0,50,50
,0,50,0
,0,100,535
,0,30,795
,0,30,765
,0,50,871
,0,50,470
,0,100,370
,0,40,100
,0,30,145
,0,100,360
,0,50,785
,0,100,320
,0,30,290
,0,50,280
,1000,0,1001
,0,100,901
,0,150,751
,1,0,501
,0,1,847
,0,50,340
,0,50,400
,0,50,350
,0,60,475
,0,100,665
,0,20,851
,0,30,0
,0,30,115
,0,50,310
,0,70,11
,0,150,635
,0,50,585
,0,50,230
,0,100,651
,0,100,748
,0,30,471
,0,50,290
,0,50,845
,0,50,425
,0,50,801
,3,0,957
,0,100,857
,0,10,360
,10,0,370
,0,10,360
,0,30,70
,0,40,30
,0,25,285
,0,100,513
,0,25,488
,0,100,186
,0,30,156
,0,50,535
,0,30,200
,0,30,441
,0,75,215
,0,50,300
,0,30,827
,0,50,310
,0,30,0
,0,30,85
,0,80,5
,0,50,485
,0,50,150
,0,100,50
,0,50,0
,0,30,718
,0,50,797
,0,30,270
,0,15,255
,0,50,205
,0,50,795
,0,100,695
,0,50,570
,0,50,520
,0,70,355
,0,20,335
,0,30,280
,0,50,235
,0,11,0
,1,0,1
,0,50,438
,0,100,56
,0,30,455
,0,455,0
,455,0,455
,0,100,618
,0,10,431
,0,100,331
,0,150,647
,0,50,165
,0,100,-99
,0,300,-399
,2100,0,1701
,1000,0,1000
,0,100,900
,0,400,500
,0,100,400
,0,200,320
,0,30,305
,0,30,635
,0,30,771
,0,100,671
,0,5,1
,0,150,501
,0,30,588
,0,30,558
,1100,0,1100
,0,100,1000
,0,100,900
,0,20,627
,0,40,587
,0,50,115
,27,0,27
,0,50,155
,0,200,495
,0,50,350
,0,50,270
,0,50,777
,0,50,230
,0,100,135
,0,100,35
,0,100,338
,0,30,26
,0,25,1
,0,50,405
,0,25,306
,0,30,1671
,335,0,490
,0,1,489
,1000,0,1000
,0,50,950
,0,100,850
,0,50,800
,0,20,780
,0,5,775
,0,30,275
,0,25,250
,0,100,150
,0,20,615
,1500,0,1500
,0,300,1200
,0,100,1100
,0,150,188
,0,50,355
,0,30,276
,0,50,850
,0,50,439
,0,100,339
,0,100,250
,0,100,675
,0,40,635
,0,100,170
,0,100,50
,0,50,565
,0,100,465
,0,50,621
,0,30,747
,0,100,647
,0,50,597
,0,4,1
,2,0,3
,0,2,1
,0,30,471
,0,70,488
,0,200,288
,0,100,176
,0,50,537
,0,30,1641
,159,0,498
,0,50,200
,0,40,595
,0,50,0
,0,20,445
,0,30,591
,0,200,391
,0,60,170
,0,20,15
,0,100,-99
,1500,0,1401
,0,150,1251
,0,70,285
,0,100,185
,0,50,65
,0,50,15
,0,30,1611
,0,200,1411
,0,50,448
,0,100,100
,0,30,70
,0,50,395
,0,100,497
,0,70,100
,0,100,0
,0,70,118
,0,30,88
,0,70,780
,0,70,467
,0,50,1361
,0,20,428
,0,100,328
,0,15,313
,0,50,445
,0,70,0
,0,50,545
,0,50,120
,0,50,70
,1100,0,1101
,0,100,1001
,0,100,901
,0,50,135
,0,70,218
,0,100,76
,0,60,720
,0,50,670
,600,0,1067
,17,0,1084
,0,50,1034
,0,15,0
,0,50,1311
,0,50,263
,0,50,395
,0,200,195
,0,20,175
,0,50,20
,0,50,447
,0,1,446
,0,15,0
,0,50,1050
,0,30,1020
,0,5,1015
,1000,0,1001
,0,100,901
,0,100,801
,0,50,751
,0,1,0
,0,100,1151
,0,100,1051
,0,30,441
,0,50,168
,0,30,46
,0,30,640
,0,50,984
,0,100,884
,0,2,-2
,0,27,0
,0,30,515
,0,20,0
,0,75,320
,0,50,341
,0,30,871
,0,30,721
,0,50,38
,1400,0,1568
,0,45,1
,0,30,610
,0,100,510
,0,30,854
,1099,0,1100
,0,99,1001
,0,300,701
,0,99,602
,0,100,163
,0,50,465
,0,100,915
,0,30,691
,0,38,0
,0,30,105
,1150,0,1150
,0,100,1050
,0,400,650
,0,60,381
,0,50,1518
,800,0,801
,0,30,480
,0,100,1211
,0,25,1186
,0,50,113
,0,50,63
,200,0,375
,16,0,391
,0,50,341
,0,40,301
,1500,0,1500
,0,60,1440
,0,30,435
,0,30,405
,1000,0,1000
,0,50,270
,0,10,260
,0,20,321
,0,100,346
,0,50,296
,0,100,771
,0,50,1001
,0,100,901
,100,0,1001
,0,100,901
,0,30,871
,0,30,75
,0,75,0
,0,30,620
,0,100,520
,0,50,751
,0,200,451
,0,100,651
,0,50,804
,0,20,582
,1000,0,1000
,1800,0,1798
,2,0,1800
,0,100,1700
,0,400,1300
,0,50,1136
,0,50,13
,0,13,0
,0,100,201
,0,5,196
,0,70,335
,0,100,900
,0,300,600
,0,50,271
,1000,0,1000
,0,100,900
,0,25,875
,0,200,675
,0,25,650
,0,85,211
,0,11,200
,750,0,750
,0,50,700
,0,300,400
,0,100,591
,0,70,801
,0,50,470
,0,30,351
,0,100,251
,0,60,391
,0,40,351
,0,100,704
,0,50,654
,0,50,532
,0,100,900
,0,100,800
,0,60,1076
,0,200,876
,1500,0,1500
,0,50,550
,0,60,200
,0,100,100
,0,30,620
,0,100,100
,0,100,300
,0,40,731
,1,0,916
,1500,0,1500
,0,100,1400
,0,100,1318
,0,70,410
,0,100,432
,0,50,1250
,0,50,826
,800,0,1626
,0,200,1426
,0,100,96
,0,80,16
,0,16,0
,0,200,1300
,0,100,1200
,0,30,520
,1200,0,1200
,0,100,1100
,0,400,700
,0,15,685
,0,30,561
,0,200,1200
,0,100,1100
,0,200,900
,0,100,-100
,1000,0,900
,0,500,400
,0,100,300
,0,30,771
,0,80,691
,1858,0,1858
,0,50,1808
,0,200,1608
,0,50,301
,0,50,251
,0,50,360
,0,20,340
,0,50,290
,0,30,624
,0,30,1396
